"stid","seq","moved_uty","treatment","expunge","white","female","age_enroll","income","income_lag","house_sat","move_deter","unemployed","unemploy_lag","ps_employed","ps_moved","local_unemploy","married","dependent","year"
"KSSTID0139",3,1,1,0,0,1,50,8.70293240137469,8.98723794481636,1,1,0,0,0,0,4.633333333,0,1,2021
"KSSTID0139",4,1,1,0,0,1,50,7.95062932136539,8.70293240137469,1,1,0,0,0,0,3.066666667,0,1,2021
"KSSTID0139",5,0,1,1,0,1,50,7.57224575029228,7.95062932136539,3,1,0,0,0,0,3.366666667,0,0,2022
"KSSTID0139",6,0,1,1,0,1,50,7.56294095325496,7.57224575029228,3,0,0,0,0,0,2.966666667,0,0,2022
"KSSTID0140",1,0,1,0,1,1,52,0,0,,1,1,1,1,0,5.7,1,0,2021
"KSSTID0140",2,0,1,0,1,1,52,0,0,3,1,1,1,1,0,5.066666667,0,0,2021
"KSSTID0140",3,1,1,1,1,1,52,0,0,2,1,1,1,1,0,4.633333333,0,0,2021
"KSSTID0140",4,0,1,1,1,1,52,0,0,,1,1,1,1,0,3.066666667,0,0,2021
"KSSTID0140",5,0,1,1,1,1,52,0,0,1,1,1,1,1,0,3.366666667,1,0,2022
"KSSTID0140",6,0,1,1,1,1,52,0,0,3,1,1,1,1,0,2.966666667,0,0,2022
"KSSTID0141",1,0,1,1,1,0,37,9.67711378970163,9.83225091568933,,0,0,0,1,0,2.866666667,1,1,2021
"KSSTID0141",2,0,1,1,1,0,37,9.81180418787947,9.67711378970163,4,0,0,0,1,0,2.733333333,1,1,2021
"KSSTID0141",3,0,1,1,1,0,37,9.80068099497133,9.81180418787947,4,0,0,0,1,0,2.966666667,1,1,2021
"KSSTID0141",4,0,1,1,1,0,37,9.99619297927834,9.80068099497133,4,0,0,0,1,0,1.866666667,1,1,2021
"KSSTID0141",5,0,1,1,1,0,37,9.86575089762346,9.99619297927834,4,0,0,0,1,0,2.433333333,1,1,2022
"KSSTID0141",6,0,1,1,1,0,37,9.91935893318654,9.86575089762346,4,0,0,0,1,0,2.333333333,1,1,2022
"KSSTID0142",1,0,0,0,1,0,53,0,0,,0,1,1,1,0,5.7,0,0,2021
"KSSTID0142",2,0,0,0,1,0,53,7.99224159760413,0,2,0,0,1,1,0,5.066666667,0,0,2021
"KSSTID0142",3,0,0,0,1,0,53,7.03339183926824,7.99224159760413,2,0,0,0,1,0,4.633333333,0,0,2021
"KSSTID0142",4,0,0,0,1,0,53,8.02228356681565,7.03339183926824,3,0,0,0,1,0,3.066666667,0,0,2021
"KSSTID0142",5,0,0,0,1,0,53,4.13067649146949,8.02228356681565,1,0,0,0,1,0,3.366666667,1,0,2022
"KSSTID0142",6,0,0,0,1,0,53,0,4.13067649146949,2,0,1,0,1,0,2.966666667,0,0,2022
"KSSTID0143",1,1,0,0,1,0,34,0,7.55981480473726,,0,1,0,1,1,4.55,0,0,2021
"KSSTID0143",2,1,0,0,1,0,34,0,0,4,1,1,1,1,1,4.15,0,0,2021
"KSSTID0143",3,0,0,0,1,0,34,0,0,4,0,1,1,1,1,3.983333333,0,0,2021
"KSSTID0143",4,0,0,0,1,0,34,0,0,4,,1,1,1,1,2.55,0,0,2021
"KSSTID0143",5,0,0,0,1,0,34,0,0,2,,1,1,1,1,2.916666667,0,0,2022
"KSSTID0143",6,0,0,0,1,0,34,0,0,,,1,1,1,1,2.716666667,1,0,2022
"KSSTID0144",1,0,0,0,1,1,55,8.73535957716558,8.9098837175593,,0,0,0,1,0,2.95,1,0,2021
"KSSTID0144",2,1,0,0,1,1,55,9.13121382782998,8.73535957716558,3,0,0,0,1,0,2.766666667,1,0,2021
"KSSTID0144",3,0,0,0,1,1,55,8.94612739970099,9.13121382782998,2,1,0,0,1,0,2.933333333,1,0,2021
"KSSTID0144",4,0,0,0,1,1,55,9.35572646910156,8.94612739970099,1,1,0,0,1,0,1.833333333,1,0,2021
