"stid","seq","income_ratio","treatment","expunge","white","female","age_enroll","unemploy_lag","local_unemploy","ps_employed","married","dependent","year","pe_income_avg"
16,4,0.624603587512302,1,1,1,0,28,0,6.533333333,1,0,0,2020,4526.535
16,4,0.624603587512302,1,1,1,0,28,0,6.533333333,1,0,0,2020,4526.535
16,5,0.800159503903096,1,1,1,0,28,0,5.7,1,0,0,2021,4526.535
16,5,0.800159503903096,1,1,1,0,28,0,5.7,1,0,0,2021,4526.535
16,6,0.872740407397712,1,1,1,0,28,0,5.066666667,1,0,0,2021,4526.535
16,6,0.872740407397712,1,1,1,0,28,0,5.066666667,1,0,0,2021,4526.535
16,7,1.15086484474327,1,1,1,0,28,0,4.633333333,1,0,0,2021,4526.535
16,7,1.15086484474327,1,1,1,0,28,0,4.633333333,1,0,0,2021,4526.535
17,-8,0.96213901277559,1,0,1,0,50,,3.133333333,1,0,0,2017,16005.3275
17,-7,1.1524681391243,1,0,1,0,50,0,3.766666667,1,0,0,2018,16005.3275
17,-6,0.943943196413819,1,0,1,0,50,0,3.4,1,0,0,2018,16005.3275
17,-5,1.07939809416583,1,0,1,0,50,0,3.4,1,0,0,2018,16005.3275
17,-4,0.881607702185413,1,0,1,0,50,0,2.9,1,0,0,2018,16005.3275
17,-3,1.00505659756103,1,0,1,0,50,0,3.433333333,1,1,0,2019,16005.3275
17,-2,0.788128827729392,1,0,1,0,50,0,3.1,1,1,0,2019,16005.3275
17,-1,1.18725843004462,1,0,1,0,50,0,3.366666667,1,1,0,2019,16005.3275
17,0,1.19072040231604,1,0,1,0,50,0,2.8,1,1,0,2019,16005.3275
17,1,1.25507397458752,1,0,1,0,50,0,3.366666667,1,1,0,2020,16005.3275
17,2,0.960890589086665,1,0,1,0,50,0,11.16666667,1,1,0,2020,16005.3275
17,3,1.22820426386152,1,0,1,0,50,0,6.633333333,1,1,0,2020,16005.3275
17,4,1.05169731765876,1,0,1,0,50,0,4.8,1,1,0,2020,16005.3275
17,5,0.874963664442355,1,0,1,0,50,0,4.366666667,1,1,0,2021,16005.3275
17,6,0.987605533220111,1,0,1,0,50,0,3.9,1,1,0,2021,16005.3275
17,7,0.94802996064904,1,0,1,0,50,0,3.666666667,1,1,0,2021,16005.3275
19,-8,3.02591873010624,1,0,1,0,27,,3.233333333,1,0,0,2017,181.4325
19,-7,1.40382786986896,1,0,1,0,27,0,3.933333333,1,0,0,2018,181.4325
19,-6,0,1,0,1,0,27,0,3.466666667,1,0,0,2018,181.4325
19,-5,0,1,0,1,0,27,1,3.666666667,1,0,0,2018,181.4325
19,-4,0,1,0,1,0,27,1,3.3,1,0,0,2018,181.4325
19,-3,0,1,0,1,0,27,1,4,1,0,0,2019,181.4325
19,-2,0,1,0,1,0,27,1,3.266666667,1,0,0,2019,181.4325
19,-1,3.5702534000248,1,0,1,0,27,1,3.6,1,0,0,2019,181.4325
19,0,0,1,0,1,0,27,0,3.133333333,1,0,0,2019,181.4325
19,1,0.393314317997051,1,0,1,0,27,1,3.7,1,0,0,2020,181.4325
19,2,3.68517217146873,1,0,1,0,27,0,9.933333333,1,0,0,2020,181.4325
19,3,1.64468879610875,1,1,1,0,27,0,6.1,1,0,0,2020,181.4325
19,4,0,1,1,1,0,27,0,4.366666667,1,0,0,2020,181.4325
19,5,0,1,1,1,0,27,1,4.066666667,1,0,0,2021,181.4325
19,6,0,1,1,1,0,27,1,3.533333333,1,0,0,2021,181.4325
19,7,3.62090584652695,1,1,1,0,27,1,3.533333333,1,0,0,2021,181.4325
20,-8,1.02581068611328,0,0,1,0,58,,3.5,1,0,0,2017,10322.275
20,-7,0.972245943844743,0,0,1,0,58,0,4,1,0,0,2018,10322.275
20,-6,0.950007629132144,0,0,1,0,58,0,3.566666667,1,0,0,2018,10322.275
20,-5,0.822279003417367,0,0,1,0,58,0,3.666666667,1,0,0,2018,10322.275
20,-4,1.10034270545979,0,0,1,0,58,0,3.133333333,1,0,0,2018,10322.275
20,-3,0.945601623673076,0,0,1,0,58,0,3.733333333,1,0,0,2019,10322.275
20,-2,1.13685694287354,0,0,1,0,58,0,3.233333333,1,0,0,2019,10322.275
20,-1,1.04685546548605,0,0,1,0,58,0,3.5,1,0,0,2019,10322.275
20,0,1.17027399483157,0,0,1,0,58,0,2.966666667,1,0,0,2019,10322.275
20,1,0.848250991181692,0,0,1,0,58,0,3.7,1,0,0,2020,10322.275
20,2,1.14852006946143,0,0,1,0,58,0,14.46666667,1,0,0,2020,10322.275
20,3,0.720250138656449,0,0,1,0,58,0,9.1,1,0,0,2020,10322.275
20,4,1.12150470705344,0,0,1,0,58,0,6.533333333,1,0,0,2020,10322.275
20,5,0.863013240782676,0,1,1,0,58,0,5.7,1,0,0,2021,10322.275
20,6,0.973111063210387,0,1,1,0,58,0,5.066666667,1,0,0,2021,10322.275
20,7,0.987001411994933,0,1,1,0,58,0,4.633333333,1,0,0,2021,10322.275
23,-8,0,0,0,1,0,29,,3.316666667,1,0,0,2017,3628.02125
23,-7,0.307688385232032,0,0,1,0,29,1,3.883333333,1,0,0,2018,3628.02125
23,-6,0.424997510695396,0,0,1,0,29,0,3.483333333,1,0,0,2018,3628.02125
23,-5,0.431378399451216,0,0,1,0,29,0,3.533333333,1,0,0,2018,3628.02125
23,-4,1.59577896628913,0,0,1,0,29,0,3.016666667,1,0,0,2018,3628.02125
23,-3,1.32225796637768,0,0,1,0,29,0,3.583333333,1,0,0,2019,3628.02125
23,-2,2.1455111377862,0,0,1,0,29,0,3.166666667,1,0,0,2019,3628.02125
23,-1,1.77238763416835,0,0,1,0,29,0,3.433333333,1,0,0,2019,3628.02125
23,0,2.24177297748738,0,0,1,0,29,0,2.883333333,1,0,0,2019,3628.02125
23,1,1.68045322226269,0,0,1,0,29,0,3.533333333,1,0,0,2020,3628.02125
23,2,0.0962508144074404,0,0,1,0,29,0,12.81666667,1,0,0,2020,3628.02125
23,3,0.909713524969017,0,1,1,0,29,0,7.866666667,1,0,0,2020,3628.02125
23,4,1.97917253103189,0,1,1,0,29,0,5.666666667,1,0,0,2020,3628.02125
23,5,1.54691486440439,0,1,1,0,29,0,5.033333333,1,0,0,2021,3628.02125
23,6,0.566793813569863,0,1,1,0,29,0,4.483333333,1,0,0,2021,3628.02125
23,7,1.43742267220734,0,1,1,0,29,0,4.15,1,0,0,2021,3628.02125
24,-8,0.319146978433146,1,0,1,0,39,,3.133333333,1,1,1,2017,12022.67375
24,-7,0,1,0,1,0,39,0,3.766666667,1,1,1,2018,12022.67375
24,-6,0,1,0,1,0,39,1,3.4,1,1,1,2018,12022.67375
24,-5,1.34804955511664,1,0,1,0,39,1,3.4,1,1,1,2018,12022.67375
24,-4,1.65650506818419,1,0,1,0,39,0,2.9,1,1,1,2018,12022.67375
24,-3,1.63370980602381,1,0,1,0,39,0,3.433333333,1,1,1,2019,12022.67375
24,-2,1.40427165795795,1,0,1,0,39,0,3.1,1,1,1,2019,12022.67375
24,-1,1.63831693428427,1,0,1,0,39,0,3.366666667,1,1,1,2019,12022.67375
24,0,1.85752857179544,1,0,1,0,39,0,2.8,1,1,1,2019,12022.67375
24,1,1.67277349599543,1,1,1,0,39,0,3.366666667,1,1,1,2020,12022.67375
24,2,1.43783324404025,1,1,1,0,39,0,11.16666667,1,1,1,2020,12022.67375
24,3,1.67747211804695,1,1,1,0,39,0,6.633333333,1,1,1,2020,12022.67375
24,4,2.1319375816881,1,1,1,0,39,0,4.8,1,1,1,2020,12022.67375
24,5,1.46658891080697,1,1,1,0,39,0,4.366666667,1,1,1,2021,12022.67375
24,6,1.49858013073007,1,1,1,0,39,0,3.9,1,1,1,2021,12022.67375
24,7,1.82298966567233,1,1,1,0,39,0,3.666666667,1,1,1,2021,12022.67375
25,-2,1.17966814038672,0,0,1,1,47,0,3.5,1,0,1,2019,14925.66375
25,-7,0.755088697479199,0,0,1,1,47,0,3.566666667,1,0,1,2018,14925.66375
25,-3,0.937841039062668,0,0,1,1,47,0,3.233333333,1,0,1,2019,14925.66375
