"stid","seq","unemployed","treatment","expunge","white","female","age_enroll","total_income","income","income_lag","unemploy_lag","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0010",3,1,1,0,1,1,40,0,0,0,1,1,6.1,0,1,2020
"KSSTID0010",4,1,1,0,1,1,40,0,0,0,1,1,4.366666667,0,1,2020
"KSSTID0010",5,1,1,0,1,1,40,0,0,0,1,1,4.066666667,0,1,2021
"KSSTID0010",6,1,1,0,1,1,40,0,0,0,1,1,3.533333333,0,1,2021
"KSSTID0010",7,1,1,0,1,1,40,0,0,0,1,1,3.533333333,0,1,2021
"KSSTID0011",-8,1,0,0,1,1,29,0,0,,,1,3.083333333,0,1,2017
"KSSTID0011",-7,1,0,0,1,1,29,0,0,0,1,1,4,0,1,2018
"KSSTID0011",-6,1,0,0,1,1,29,0,0,0,1,1,3.283333333,0,1,2018
"KSSTID0011",-5,1,0,0,1,1,29,0,0,0,1,1,3.5,0,1,2018
"KSSTID0011",-4,1,0,0,1,1,29,0,0,0,1,1,3.15,0,1,2018
"KSSTID0011",-3,1,0,0,1,1,29,0,0,0,1,1,4.15,0,1,2019
"KSSTID0011",-2,1,0,0,1,1,29,0,0,0,1,1,3.283333333,0,1,2019
"KSSTID0011",-1,1,0,0,1,1,29,0,0,0,1,1,3.483333333,0,1,2019
"KSSTID0011",0,1,0,0,1,1,29,0,0,0,1,1,3.116666667,0,1,2019
"KSSTID0011",1,1,0,0,1,1,29,0,0,0,1,1,3.883333333,0,1,2020
"KSSTID0011",2,1,0,0,1,1,29,0,0,0,1,1,8.3,0,1,2020
"KSSTID0011",3,1,0,0,1,1,29,0,0,0,1,1,5.1,0,1,2020
"KSSTID0011",4,1,0,0,1,1,29,0,0,0,1,1,3.7,0,1,2020
"KSSTID0011",5,1,0,0,1,1,29,0,0,0,1,1,3.666666667,0,1,2021
"KSSTID0011",6,1,0,0,1,1,29,0,0,0,1,1,3.2,0,1,2021
"KSSTID0011",7,1,0,0,1,1,29,0,0,0,1,1,3.3,0,1,2021
"KSSTID0012",-8,0,0,0,0,0,39,4800,8.47657950853094,,,1,3.45,1,1,2017
"KSSTID0012",-7,0,0,0,0,0,39,1856.89,7.52719671417663,8.47657950853094,0,1,4.25,1,1,2018
"KSSTID0012",-6,0,0,0,0,0,39,3270.77,8.09308640185341,7.52719671417663,0,1,3.783333333,1,1,2018
"KSSTID0012",-5,0,0,0,0,0,39,4607.3013,8.43561458652286,8.09308640185341,0,1,3.883333333,1,1,2018
"KSSTID0012",-4,0,0,0,0,0,39,3139.22845,8.05205083103287,8.43561458652286,0,1,3.1,1,1,2018
"KSSTID0012",-3,0,0,0,0,0,39,3587.28845,8.18543061292393,8.05205083103287,0,1,4.183333333,1,1,2019
