"stid","homeless","treatment","expunge","white","female","age_enroll","total_income","income","ps_income","ps_employed","unemployed","unemployed_q","local_unemploy","married","dependent"
"KSSTID0159",0,1,0,0,0,34,4459.97,4.28040312623106,9711.34,0,1,1,3.35,1,1
"KSSTID0160",0,0,0,1,1,53,4647.70666666667,8.35451474982408,3878.09,1,0,0,2.08333333333333,1,0
"KSSTID0161",0,1,1,0,1,27,10814.08,9.27469059731337,8031.09,1,0,0,3.91666666683333,0,1
"KSSTID0162",0,0,0,1,0,43,6562.28833333333,6.12712724056354,109.31,1,1,1,3.91666666683333,1,0
"KSSTID0163",0,0,0,1,0,70,0,0,0,1,1,1,3.7833333335,1,0
"KSSTID0164",0,0,0,1,1,53,7834.63,8.95076202156521,6526.67,1,0,0,3.91666666683333,0,0
"KSSTID0165",,1,1,0,1,33,7721.55,8.86778670348405,5955.92,0,1,1,3.91666666683333,0,0
"KSSTID0166",0,1,1,1,1,50,6146.67333333333,8.7033929943315,8690.49,1,0,0,2.2555555555,1,0
"KSSTID0167",,0,0,1,1,60,6292.59666666667,8.67072938392765,3309.8,1,0,0,2.7444444445,1,0
"KSSTID0168",0,0,0,1,1,41,2887.73833333333,6.76478272045422,0,1,1,1,2.49999999983333,1,0
"KSSTID0169",,1,1,1,0,41,8864.34833333333,8.80078571240891,6518.98,0,0,0,2.8055555555,1,1
"KSSTID0170",0,1,1,1,0,37,0,0,3945.1,1,1,1,2.561111111,1,1
"KSSTID0171",,0,0,0,1,31,8268.645,9.01779664834565,7230.72,1,0,0,2.425925926,1,1
"KSSTID0172",0,1,1,1,0,45,15631.27,9.63549673488106,13101.97,1,0,0,2.561111111,1,1
"KSSTID0173",0,0,0,1,1,42,8861.32833333333,9.07807975006756,7686.1,1,0,0,2.561111111,1,1
"KSSTID0174",0,0,0,1,1,41,4733.85333333333,8.32637631167239,6471.01,0,0,0,2.7166666665,1,1
"KSSTID0175",0,0,1,1,1,46,0,0,0,1,1,1,3.70555555566667,1,1
"KSSTID0176",0,1,0,1,1,36,0,0,439.8,1,1,1,2.8055555555,1,0
"KSSTID0177",0,1,1,1,1,58,2222.44333333333,6.46750737087419,5390.84,1,1,1,2.7944444445,1,0
"KSSTID0178",0,1,1,0,0,35,0,0,1569.11,0,1,1,3.99444444433333,1,1
"KSSTID0179",0,1,1,1,0,31,3131.8,6.49751298894072,0,1,1,1,3.31944444433333,1,1
"KSSTID0180",,0,0,1,0,27,772.8,2.58263079646294,1780.09,1,1,1,3.03148148133333,1,0
"KSSTID0181",1,0,0,1,1,28,3635.71666666667,8.0267769372939,4576.92,0,0,0,3.13333333333333,1,1
"KSSTID0182",0,0,0,1,0,44,0,0,0,1,1,1,2.372222222,1,1
"KSSTID0183",0,1,0,1,1,41,2653.39666666667,7.85337963152912,0,1,0,0,3.04722222233333,1,0
"KSSTID0184",0,0,0,1,0,30,18595.55,9.81854131426117,10768.55,1,0,0,2.561111111,1,1
"KSSTID0185",,1,1,1,1,59,3903.15,5.74060010935728,4244.38,1,1,1,2.425925926,1,0
"KSSTID0186",,1,1,1,1,57,3224.62666666667,7.88818070739286,158.04,1,0,0,2.14166666666667,1,0
"KSSTID0187",0,0,0,1,0,44,0,0,0,0,1,1,2.8,1,1
"KSSTID0188",0,0,0,1,0,39,0,0,0,1,1,1,2.37777777766667,1,1
"KSSTID0189",0,1,1,1,1,41,13213.0266666667,9.41646768129503,7460.14,1,0,0,2.79166666666667,1,1
"KSSTID0190",0,0,0,0,1,38,19560.4116666667,9.76511466271012,7497.33,1,0,0,2.58333333333333,1,1
"KSSTID0191",0,0,0,1,1,52,6004.44,8.5739863616384,6936.68,1,0,0,2.7583333335,1,0
"KSSTID0192",0,1,1,1,0,59,7090.74833333333,7.53734630367812,6915.65,1,1,1,2.81296296283333,1,1
"KSSTID0193",0,1,1,0,1,41,289.86,1.24362205700067,2017.29,1,1,1,3.44444444466667,1,1
"KSSTID0194",0,0,0,1,0,42,973.083333333333,3.48487960941231,0,1,1,1,3.09444444466667,1,1
"KSSTID0195",0,1,1,0,1,29,3643,8.09108913475821,2120.08,0,0,0,3.44444444466667,1,1
"KSSTID0196",0,1,1,1,0,55,13927.675,9.52970354236664,10997.44,0,0,0,2.58333333333333,1,0
"KSSTID0197",0,1,1,1,1,41,16739.9816666667,9.7251800790898,19422.58,1,0,0,2.65000000016667,1,1
"KSSTID0198",0,0,0,1,0,29,12423.12,9.42486450865838,12993.88,1,0,0,3.44444444466667,1,1
"KSSTID0199",0,0,0,1,0,58,49120.125,10.7357230083456,43532.84,1,0,0,2.13333333316667,1,0
"KSSTID0200",0,1,1,0,0,34,13163.795,9.46914884838856,10762.96,0,0,0,3.44444444466667,1,0
"KSSTID0201",,1,1,0,0,57,11925,9.38412393211691,10781.25,1,0,0,2.264814815,1,1
"KSSTID0202",0,1,1,1,0,35,16341.375,9.69456800827995,14976.45,1,0,0,2.0722222225,1,0
"KSSTID0203",0,1,1,1,0,43,1707.91666666667,6.23010016210728,73.06,0,1,1,2.2,1,0
"KSSTID0204",0,0,0,0,0,50,1644.6905,1.53286138331394,6937.72,0,1,1,2.46111111116667,1,0
"KSSTID0205",0,1,1,1,1,26,934.951666666667,1.43873875837059,4744.65,1,1,1,2.46111111116667,1,1
"KSSTID0206",0,1,1,0,0,34,5803.59333333333,4.67900075024171,9045.66,0,1,1,3.44444444466667,1,0
"KSSTID0207",0,1,1,1,0,37,7867.43833333333,7.62479332575399,2727.06,0,1,1,2.62777777766667,1,0
"KSSTID0208",0,0,0,1,0,45,3033.07,6.59638593721731,4253.74,1,1,1,3.438888889,1,1
"KSSTID0209",0,1,1,1,0,43,11783.4433333333,7.96393340912242,11485.9,0,1,1,3.438888889,1,1
"KSSTID0210",,0,0,1,0,55,1548.82,3.80181058115198,0,1,1,1,2.95000000016667,1,0
"KSSTID0211",,0,0,0,0,43,5305.54333333333,7.27123809641882,931.62,1,1,1,3.438888889,1,0
"KSSTID0212",0,0,0,1,1,33,4566.18,7.06924807233141,1971.99,1,1,1,3.438888889,1,0
"KSSTID0213",,0,0,1,1,37,5113.75,7.25879192752127,6257.41,0,1,1,2.95925925933333,1,0
"KSSTID0214",0,1,1,1,0,26,12538.37,7.98214799597113,9872.02,1,1,1,2.97962962966667,1,1
"KSSTID0215",,0,0,0,0,50,5316.68,7.291065615552,2949.19,1,1,1,3.438888889,1,0
"KSSTID0216",0,0,0,1,0,43,7648.73833333333,7.58943654899453,9040.86,1,1,1,2.911111111,1,0
"KSSTID0217",,0,0,0,0,35,1253.36166666667,4.78608567280534,3634.21,1,1,1,2.3555555555,1,0
"KSSTID0218",,1,1,0,1,65,0,0,0,1,1,1,3.0083333335,1,0
"KSSTID0219",0,0,1,0,0,51,13071.645,7.8762309088781,6325.21,1,1,1,3.00277777766667,1,1
"KSSTID0220",0,1,1,1,0,57,6483.87166666667,7.4248271775233,6152.82,0,1,1,3.40555555566667,1,0
"KSSTID0221",1,0,0,1,0,52,2873.50666666667,6.4296946393304,29.88,1,1,1,2.6555555555,1,0
"KSSTID0222",0,0,0,1,1,53,4944.07666666667,6.7247527727467,8712.96,0,1,1,3.40555555566667,1,0
"KSSTID0223",0,1,1,0,1,44,10139.1633333333,7.83050830726064,10645.98,1,1,1,2.7,1,1
"KSSTID0224",0,0,0,1,0,55,14931.63,8.15185620078594,16853.79,1,1,1,2.6583333335,1,1
"KSSTID0225",0,0,0,1,0,58,0,0,9639.09,1,1,1,2.2055555555,1,0
"KSSTID0226",0,0,0,1,0,35,12152.165,7.96393981136842,10003.67,1,1,1,2.6555555555,1,1
"KSSTID0227",0,0,0,0,1,41,2458.86166666667,6.23069711354095,2668.13,1,1,1,3.10555555566667,0,0
"KSSTID0228",1,0,0,1,1,40,1502.505,6.23104035441366,171.76,0,1,1,3.236111111,1,0
"KSSTID0229",0,1,1,1,0,38,10232.6416666667,7.81117656677255,10608.67,1,1,1,3.22222222216667,1,1
"KSSTID0230",0,0,0,1,1,50,2628.62666666667,5.06302024989817,2370.06,0,1,1,3.14444444466667,1,1
"KSSTID0231",0,1,1,1,0,42,9013.74666666667,7.73848024239091,9970.76,1,1,1,2.77222222233333,1,1
"KSSTID0232",0,1,1,0,0,55,14544.0283333333,8.10922927195934,8818.38,1,1,1,2.91666666683333,1,0
"KSSTID0233",,1,1,0,0,35,0,0,0,1,1,1,2.82222222216667,1,1
"KSSTID0234",,1,1,0,0,32,2224.53,5.27023980702409,3814.56,0,1,1,3.14444444466667,1,1
"KSSTID0235",0,0,0,1,1,29,7441.90833333333,7.57830062945661,8464.63,0,1,1,2.774074074,1,0
"KSSTID0236",0,1,1,1,0,64,0,0,0,1,1,1,2.51666666683333,1,0
"KSSTID0237",0,0,0,1,1,46,13711.1916666667,6.61865594374581,18534.94,1,1,1,2.66666666683333,1,1
"KSSTID0238",1,1,1,1,1,46,135.211666666667,1.82906685888503,526.43,1,1,1,3.03333333316667,1,1
"KSSTID0239",0,1,1,0,1,37,0,0,1567.23,1,1,1,2.98888888883333,1,1
"KSSTID0240",0,1,1,1,1,50,0,0,0,1,1,1,2.711111111,1,0
"KSSTID0241",,0,0,1,1,64,0,0,0,1,1,1,2.93703703716667,1,0
"KSSTID0242",,1,1,1,0,37,6957.27,6.16225257042609,1624.13,1,1,1,3.06111111116667,1,1
"KSSTID0243",0,1,0,0,1,30,2499.01,5.18953593004192,5120.69,1,1,1,3.17222222233333,1,1
"KSSTID0244",,0,0,1,1,62,2322.95833333333,5.42469756007033,2619.87,1,1,1,2.87777777766667,1,0
"KSSTID0245",0,0,0,1,0,35,37.005,0.901217715259978,0,1,1,1,2.961111111,1,1
